,score
0xaaa4ab4966e54d856bf2fb33a850285b30ed45e3,50.15
0x5eaae5e94995202c2183956369b1700450b2c89e,50.15
0x7245386b3e4d58a34eabbc32879dd95f0df697ba,50.15
0xe69f609c75f8640fa034166c63929f2875c01343,50.15
0x9080860073ad25e31ee3bde8114ac5e7ec678138,50.15
0xea684b99872bd23a5ed067ee64d006496799c1cc,50.15
0x4c3278cf1c45a3e5bd2000242207870b6c015cb8,50.15
0xec45c8fd6c9844be241fc2ef399f267a21210fd5,50.15
0x3591d261da9ca19d83de5028d4caa02f22aaf9ee,50.15
0xb616086f87478c5dc1c7ac1fa904ba934ea50e8f,50.14
0xfdadbe4c8fba7bf5f2fe1ecc82cb55f14ba379b9,50.14
0x1997169fc82abdc3f54e14e1e2cd75cba24db73c,50.14
0x9640a35e5345cb0639c4dd0593567f9334ffeb8a,50.14
0x96d747350d3d3f26a06e1e2f523f74ce910f4a55,50.14
0x9792e20ebef1c51f9cd6331af8875eb49c78ef0b,50.14
0x1d428e4d7b36b4d114db519982e77d3fe3371632,50.14
0x737284cfc66fd5989f2ac866989d70ae134227cb,50.14
0x3033a0657c4823897440b9121c425ec761a7a694,50.14
0x54f987c0a786031357427211046d9e7ef61f3891,50.14
0xa5d32c621b11696a24efbfbbb6ef550ffcb29b28,50.13
0xdc19464589c1cfdd10aedcc1d09336622b282652,50.13
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,50.13
0x64ae361c1c55f61a02d2c67a4c78457d5169ac56,50.13
0xa9d43d5b22e5eb975df03f54a90e4d630f448f4b,50.13
0xe826cf83f03732ea35eaf4cd9627d57529feca4b,50.12
0xd7925984736824b4aecf8301c9aee211cd976494,50.12
0x1f9a1d61fbba4170451726e1a332de94e5afef8c,50.12
0xc6363b9eedebf3e744d0f4c6ebfe7bd127b6716c,50.12
0x7345c51439d1c84949f56a6ad0ecdf3f3f1d2be2,50.12
0xcfd378f0c9235c671cbdaf97c10778da6f8298ce,50.12
0xe8324c980791df99215b4e337d1dee5f5c0988a8,50.11
0x2beb2ebc0a78c40c66e7cfd013f9616679671c46,50.11
0xc6f6c89f7f297b5230d2fd028ac06f0677c1857b,50.11
0x7f22f77a78e2f92fb4f6ed85df8eaa980e845ede,50.11
0xd1bf30002eb933155858f62dd5973749d8c516d4,50.11
0xecbc2901efd668a049ec86e847c3a70552d128a7,50.1
0x80e7e06f096380dd0d3f9cec4fdece370db4cdbd,50.1
0xe5c10b9988ce6f1e56cc3a142f2364edfa890ce5,50.1
0x3a804a720a6c62b42867746afede4b107ecac072,50.1
0x6cf35dd90be3717bf155dbb5db99477b5d84e368,50.1
0xbb8cbfb58953458db4f3fb2aceaf8f1873253d79,50.1
0x0baf7b79f9174c0840aa93a93a2c2a81044a09a2,50.1
0x9e9bf7495369e73e76e0f41c00481b16a270711c,50.1
0xfde695f57f1800f6a6012038ba6263f436b3cf68,50.1
0x083674408a89ccbb0fc9653cf93a1de0b017a2e2,50.1
0x2cdaedb560b5b1ade8804f891c0e0e083209758e,50.1
0x58dee59cb30b564ed9ccaa85c9fcaf053fdd6dcf,50.1
0x419e0d48a5d64e90205d1c28edcb7fab04a0a88d,50.09
0x2923be587904f3034ffab36c86c495df3c21bc97,50.09
0x3861a3c9c3362a5276ea59be4707ce5700b9c304,50.09
0x6655459bab7a5e99f2d61279316f6d0a465be784,50.09
0x23d6f869c4a64f1e8be35c777fdc523cfabee9ef,50.09
0xc4126a64c546677146ffb3f3d5a6f6d5a2f94df1,50.09
0x29bc5fb2b177dd3432661ee5c67e7d7008350fcf,50.09
0x9b3611abceb1550b7ff2ebd46cf6ae4319130014,50.09
0x8510e03762a1b4ea8c6118048f50af0a28f88d12,50.09
0x0235ecaa45c4ce4abaf58c21e70c103d1bd745d7,50.09
0xca125321e0a8a60d882f1b38fb7077aaa8eaf53b,50.08
0xfd72fac7d08f9912e5d02091417304d5a0072e2b,50.08
0x6b790599ea89be7f68268eea87bbba9cab5cfb68,50.08
0xce9d0fce9560d8ee4b3fd9a2291635ae9843aea5,50.08
0x2d25dedc2a061741e07843451754fe363107b0f3,50.08
0x16f0a28f9a7874207dde61895bfeac49a34915be,50.08
0x272c603e0d852ee013d83669b67b164773cc8d0e,50.08
0x153e016b77a1a0667af61c05187897075d526781,50.07
0x3848ce8d9c1287fd0419334e5f98c0514fcc7221,50.07
0xbfebe09d854272c3aeeb1e4411c2b02a83d0339e,50.07
0x15c423e2c5e4980d556acd3a02ccb160d0a1d03a,50.07
